"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"263",10,"Jake Elliott",PHI,"K17","14","4 out of 5 stars","-27"
"264",10,"Wayne Gallman",SF,"RB74","6","3 out of 5 stars","+10"
"265",10,"Joey Slye",CAR,"K18","13","5 out of 5 stars","+59"
"266",10,"Marquez Callaway",NO,"WR92","6","4 out of 5 stars","-71"
"267",10,"Xavier Jones",LAR,"RB75","11","4 out of 5 stars","-98"
"268",10,"Jack Doyle",IND,"TE32","14","4 out of 5 stars","+113"
"269",10,"Kerryon Johnson",PHI,"RB76","14","3 out of 5 stars","+18"
"270",10,"La'Mical Perine",NYJ,"RB77","6","4 out of 5 stars","-28"
"271",10,"Tennessee Titans",TEN,"DST21","13","3 out of 5 stars","-91"
"272",10,"James Washington",PIT,"WR93","7","2 out of 5 stars","+64"
"273",10,"Amari Rodgers",GB,"WR94","13","1 out of 5 stars","+41"
"274",10,"Nico Collins",HOU,"WR95","10","3 out of 5 stars","-65"
"275",10,"Samaje Perine",CIN,"RB78","10","3 out of 5 stars","+10"
"276",10,"Javian Hawkins",ATL,"RB79","6","2 out of 5 stars","-68"
"277",10,"Chris Boswell",PIT,"K19","7","2 out of 5 stars","-44"
"278",10,"Matt Breida",BUF,"RB80","7","3 out of 5 stars","+105"
"279",10,"Rashard Higgins",CLE,"WR96","13","1 out of 5 stars","+17"
"280",10,"Deshaun Watson",HOU,"QB32","10","4 out of 5 stars","-121"
"281",10,"Ka'imi Fairbairn",HOU,"K20","10","3 out of 5 stars","+24"
"282",10,"Jimmy Graham",CHI,"TE33","10","1 out of 5 stars","-45"
"283",10,"Ty Johnson",NYJ,"RB81","6","4 out of 5 stars","+58"
"284",10,"Anthony McFarland Jr.",PIT,"RB82","7","5 out of 5 stars","-77"
"285",10,"New York Giants",NYG,"DST22","10","4 out of 5 stars","-41"
"286",10,"Dustin Hopkins",WAS,"K21","9","2 out of 5 stars","+67"
"287",10,"Preston Williams",MIA,"WR97","14","3 out of 5 stars","+43"
"288",10,"Arizona Cardinals",ARI,"DST23","12","3 out of 5 stars","0"
"289",10,"Teddy Bridgewater",DEN,"QB33","11","5 out of 5 stars","-5"
"290",10,"New York Jets",NYJ,"DST24","6","4 out of 5 stars","+25"
"291",10,"Jimmy Garoppolo",SF,"QB34","6","5 out of 5 stars","-14"
"292",10,"Matt Gay",LAR,"K22","11","5 out of 5 stars","-44"
"293",10,"Zach Pascal",IND,"WR98","14","5 out of 5 stars","+14"
"294",10,"Keke Coutee",HOU,"WR99","10","3 out of 5 stars","-32"
"295",10,"Josh Lambo",JAC,"K23","7","5 out of 5 stars","+32"
"296",10,"Keelan Cole Sr.",NYJ,"WR100","6","4 out of 5 stars","+30"
"297",10,"Kendrick Bourne",NE,"WR101","14","4 out of 5 stars","+32"
"298",10,"Dallas Cowboys",DAL,"DST25","7","5 out of 5 stars","-75"
"299",10,"N'Keal Harry",NE,"WR102","14","4 out of 5 stars","+40"
"300",10,"Ke'Shawn Vaughn",TB,"RB83","9","0 out of 5 stars","-24"
"301",10,"Quintez Cephus",DET,"WR103","9","1 out of 5 stars","+59"
"302",10,"Tyron Johnson",LAC,"WR104","7","3 out of 5 stars","+66"
"303",10,"Drew Lock",DEN,"QB35","11","5 out of 5 stars","+77"
"304",10,"D'Wayne Eskridge",SEA,"WR105","9","1 out of 5 stars","-"
"305",10,"Travis Fulgham",PHI,"WR106","14","3 out of 5 stars","-30"
"306",10,"Jacksonville Jaguars",JAC,"DST26","7","2 out of 5 stars","+13"
"307",10,"Donovan Peoples-Jones",CLE,"WR107","13","1 out of 5 stars","+26"
"308",10,"Qadree Ollison",ATL,"RB84","6","2 out of 5 stars","+15"
"309",10,"Graham Gano",NYG,"K24","10","2 out of 5 stars","-8"
"310",10,"Tyrod Taylor",HOU,"QB36","10","4 out of 5 stars","+49"
"311",10,"Mo Alie-Cox",IND,"TE34","14","4 out of 5 stars","-52"
"312",11,"Dalton Schultz",DAL,"TE35","7","2 out of 5 stars","+30"
"313",11,"Kyle Rudolph",NYG,"TE36","10","3 out of 5 stars","-"
"314",11,"Scotty Miller",TB,"WR108","9","2 out of 5 stars","-59"
"315",11,"Dyami Brown",WAS,"WR109","9","3 out of 5 stars","+7"
"316",11,"Atlanta Falcons",ATL,"DST27","6","5 out of 5 stars","-4"
"317",11,"DeeJay Dallas",SEA,"RB85","9","1 out of 5 stars","-"
"318",11,"Carolina Panthers",CAR,"DST28","13","4 out of 5 stars","-24"
"319",11,"Austin Seibert",CIN,"K25","10","1 out of 5 stars","-"
"320",11,"Jordan Akins",HOU,"TE37","10","4 out of 5 stars","-94"
"321",11,"Zane Gonzalez",DET,"K26","9","5 out of 5 stars","-"
"322",11,"Stephen Gostkowski",FA,"K27","-","-","-"
"323",11,"Demarcus Robinson",KC,"WR110","12","3 out of 5 stars","-28"
"324",11,"Le'Veon Bell",FA,"RB86","-","-","+19"
"325",11,"Jalen Richard",LV,"RB87","8","2 out of 5 stars","-59"
"326",11,"Rex Burkhead",HOU,"RB88","10","4 out of 5 stars","-"
"327",11,"Ian Thomas",CAR,"TE38","13","4 out of 5 stars","-"
"328",11,"Cairo Santos",CHI,"K28","10","2 out of 5 stars","-24"
"329",11,"Andy Isabella",ARI,"WR111","12","2 out of 5 stars","-"
"330",11,"Kalen Ballage",PIT,"RB89","7","5 out of 5 stars","-50"
"331",11,"Mac Jones",NE,"QB37","14","5 out of 5 stars","-45"
"332",11,"Olamide Zaccheaus",ATL,"WR112","6","4 out of 5 stars","+19"
"333",11,"Jordan Howard",PHI,"RB90","14","3 out of 5 stars","-"
"334",11,"Greg Ward",PHI,"WR113","14","3 out of 5 stars","-"
"335",11,"Larry Rountree III",LAC,"RB91","7","4 out of 5 stars","+36"
"336",11,"Byron Pringle",KC,"WR114","12","3 out of 5 stars","+4"
"337",11,"Todd Gurley II",FA,"RB92","-","-","-98"
"338",11,"Brian Hill",TEN,"RB93","13","3 out of 5 stars","+16"
"339",11,"Pat Freiermuth",PIT,"TE39","7","5 out of 5 stars","+8"
"340",11,"Justice Hill",BAL,"RB94","8","4 out of 5 stars","+39"
"341",11,"C.J. Uzomah",CIN,"TE40","10","2 out of 5 stars","-42"
"342",11,"Andy Dalton",CHI,"QB38","10","2 out of 5 stars","+31"
"343",11,"Eno Benjamin",ARI,"RB95","12","3 out of 5 stars","-91"
"344",11,"Will Dissly",SEA,"TE41","9","1 out of 5 stars","+31"
"345",11,"Duke Johnson Jr.",FA,"RB96","-","-","-"
"346",11,"Cody Parkey",CLE,"K29","13","2 out of 5 stars","-36"
"347",11,"Josh Palmer",LAC,"WR115","7","3 out of 5 stars","+2"
"348",11,"Donald Parham Jr.",LAC,"TE42","7","3 out of 5 stars","+38"
"349",11,"Miles Boykin",BAL,"WR116","8","2 out of 5 stars","-"
"350",11,"Dan Bailey",FA,"K30","-","-","-"
"351",11,"Ito Smith",ARI,"RB97","12","3 out of 5 stars","-48"
"352",11,"Elijah Mitchell",SF,"RB98","6","3 out of 5 stars","-127"
"353",11,"Houston Texans",HOU,"DST29","10","2 out of 5 stars","-3"
"354",11,"Harrison Bryant",CLE,"TE43","13","2 out of 5 stars","-"
"355",11,"Drew Sample",CIN,"TE44","10","2 out of 5 stars","-"
"356",11,"David Njoku",CLE,"TE45","13","2 out of 5 stars","-"
"357",11,"Adam Humphries",WAS,"WR117","9","3 out of 5 stars","+1"
"358",11,"Jake Funk",LAR,"RB99","11","4 out of 5 stars","+3"
"359",11,"Jordan Wilkins",IND,"RB100","14","4 out of 5 stars","-"
"360",11,"Jalen Guyton",LAC,"WR118","7","3 out of 5 stars","-29"
"361",11,"Jermar Jefferson",DET,"RB101","9","0 out of 5 stars","-"
"362",11,"Deonte Harris",NO,"WR119","6","4 out of 5 stars","-72"
"363",11,"Adrian Peterson",FA,"RB102","-","-","+2"
"364",11,"John Ross",NYG,"WR120","10","3 out of 5 stars","-"
"365",11,"Peyton Barber",WAS,"RB103","9","3 out of 5 stars","-"
"366",11,"Lynn Bowden Jr.",MIA,"WR121","14","3 out of 5 stars","-29"
"367",11,"Sam Sloman",PIT,"K31","7","2 out of 5 stars","-"
"368",11,"Steven Sims Jr.",WAS,"WR122","9","3 out of 5 stars","-"
"369",11,"Mike Boone",DEN,"RB104","11","5 out of 5 stars","-97"
"370",11,"Tyler Conklin",MIN,"TE46","7","2 out of 5 stars","-"
"371",11,"Tutu Atwell",LAR,"WR123","11","5 out of 5 stars","-37"
