"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"157","David Njoku",CLE,"TE24","152","160","157.8","2.1"
"158","Salvon Ahmed",MIA,"RB55","153","184","158.7","9.8"
"159","Samaje Perine",CIN,"RB56","140","173","163.0","10.3"
"160","Ronald Jones II",TB,"RB57","154","205","163.3","15.5"
"161","Gerald Everett",SEA,"TE25","158","179","164.6","7.8"
"162","Rashard Higgins",CLE,"WR80","155","167","157.8","4.3"
"163","Jack Doyle",IND,"TE26","159","194","170.8","15.5"
"164","Tyler Johnson",TB,"WR81","126","170","162.3","13.9"
"165","Kalif Raymond",DET,"WR82","147","184","163.0","9.8"
"166","Latavius Murray",BAL,"RB58","156","183","173.6","8.5"
"167","Cordarrelle Patterson",ATL,"RB59","71","193","165.5","37.0"
"168","Donald Parham Jr.",LAC,"TE27","165","220","176.4","19.1"
"169","Nick Westbrook-Ikhine",TEN,"WR83","150","181","166.6","8.0"
"170","Devin Duvernay",BAL,"WR84","152","182","171.0","8.0"
"171","Zay Jones",LV,"WR85","151","163","160.4","4.4"
"172","Terrace Marshall Jr.",CAR,"WR86","163","190","173.8","6.9"
"173","Khalil Herbert",CHI,"RB60","173","193","184.4","6.9"
"174","Cameron Brate",TB,"TE28","165","224","186.8","18.2"
"175","O.J. Howard",TB,"TE29","167","228","178.6","20.7"
"176","Albert Wilson",MIA,"WR87","163","203","188.3","10.7"
"177","Phillip Lindsay",HOU,"RB61","165","211","188.7","13.7"
"178","Hayden Hurst",ATL,"TE30","171","234","182.0","20.7"
"179","Le'Veon Bell",FA,"RB62","174","178","174.7","1.4"
"180","Jalen Guyton",LAC,"WR88","168","185","175.1","4.7"
"181","Chester Rogers",TEN,"WR89","176","195","185.6","4.8"
"182","Ryan Griffin",NYJ,"TE31","171","191","186.3","6.9"
"183","Demarcus Robinson",KC,"WR90","166","182","178.4","5.6"
"184","Anthony Schwartz",CLE,"WR91","175","186","179.4","3.0"
"185","Preston Williams",MIA,"WR92","172","208","197.2","13.9"
"186","Rob Gronkowski",TB,"TE32","110","201","180.0","30.1"
"187","J.J. Taylor",NE,"RB63","178","240","190.0","20.0"
"188","Anthony Firkser",TEN,"TE33","181","210","191.1","11.6"
"189","Cedrick Wilson Jr.",DAL,"WR93","166","283","187.3","39.4"
"190","Mack Hollins",MIA,"WR94","179","193","184.9","3.9"
"191","Jerick McKinnon",KC,"RB64","185","252","195.5","21.5"
"192","Joshua Palmer",LAC,"WR95","185","192","188.9","1.9"
"193","Jamaal Williams",DET,"RB65","153","256","207.4","27.5"
"194","Derrick Gore",KC,"RB66","180","227","194.0","19.1"
"195","Tommy Tremble",CAR,"TE34","195","232","203.0","11.3"
"196","Ameer Abdullah",CAR,"RB67","187","227","195.6","14.0"
"197","Travis Homer",SEA,"RB68","190","213","197.0","8.6"
"198","Kenny Stills",NO,"WR96","194","218","197.4","8.4"
"199","Jaret Patterson",WAS,"RB69","193","206","197.6","4.9"
"200","Antoine Wesley",ARI,"WR97","186","202","199.0","5.4"
"201","Josh Gordon",KC,"WR98","200","212","202.6","4.1"
"202","Kyle Juszczyk",SF,"RB70","177","226","203.0","13.4"
"203","Darius Slayton",NYG,"WR99","145","245","210.6","35.0"
"204","Jalen Richard",LV,"RB71","197","233","205.6","11.8"
"205","Joshua Kelley",LAC,"RB72","199","215","206.6","4.3"
"206","Braxton Berrios",NYJ,"WR100","204","222","207.9","6.4"
"207","Ashton Dulin",IND,"WR101","199","247","209.3","15.5"
"208","Harrison Bryant",CLE,"TE35","198","209","201.8","3.4"
"209","Freddie Swain",SEA,"WR102","170","234","210.1","19.1"
"210","Larry Rountree III",LAC,"RB73","208","216","210.3","3.3"
"211","Denzel Mims",NYJ,"WR103","199","222","203.7","8.4"
"212","Adam Humphries",WAS,"WR104","181","243","217.3","17.2"
"213","Rex Burkhead",HOU,"RB74","190","252","218.9","16.6"
"214","Nico Collins",HOU,"WR105","145","241","213.4","28.8"
"215","Matt Breida",BUF,"RB75","207","242","215.1","11.3"
"216","Ty'Son Williams",BAL,"RB76","209","248","219.9","16.3"
"217","Geoff Swaim",TEN,"TE36","169","214","191.5","17.6"
"218","Benny Snell Jr.",PIT,"RB77","211","259","220.1","16.2"
"219","Alex Armah Jr.",NO,"RB78","213","219","215.2","1.9"
