"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"198","Joshua Palmer",LAC,"WR99","191","221","204.6","8.7"
"199","Jerick McKinnon",KC,"RB65","198","233","212.1","10.9"
"200","Larry Rountree III",LAC,"RB66","196","226","207.0","7.7"
"201","James Washington",PIT,"WR100","153","213","200.3","14.4"
"202","Pat Freiermuth",PIT,"TE36","162","192","173.7","12.0"
"203","Devonta Freeman",BAL,"RB67","191","251","219.8","14.7"
"204","Samaje Perine",CIN,"RB68","203","231","214.3","8.0"
"205","Josh Jacobs",LV,"RB69","91","275","218.9","40.5"
"206","Jake Funk",LAR,"RB70","202","244","219.1","11.3"
"207","Kadarius Toney",NYG,"WR101","199","233","213.1","8.1"
"208","Albert Wilson",MIA,"WR102","195","218","206.5","6.0"
"209","Marlon Mack",IND,"RB71","205","236","220.3","9.3"
"210","Alex Collins",SEA,"RB72","202","242","220.5","10.8"
"211","Mohamed Sanu Sr.",SF,"WR103","202","221","208.5","5.0"
"212","Jeremy McNichols",TEN,"RB73","201","249","222.2","11.1"
"213","Travis Homer",SEA,"RB74","205","248","225.0","13.5"
"214","C.J. Uzomah",CIN,"TE37","177","198","185.9","7.9"
"215","Parris Campbell",IND,"WR104","181","231","209.5","12.9"
"216","Maxx Williams",ARI,"TE38","163","192","178.2","10.3"
"217","Jamison Crowder",NYJ,"WR105","135","233","201.2","25.1"
"218","Ty Montgomery",NO,"RB75","210","249","229.6","11.1"
"219","Kyle Juszczyk",SF,"RB76","211","249","231.9","11.6"
"220","Trinity Benson",DET,"WR106","208","240","217.8","8.6"
"221","Harrison Bryant",CLE,"TE39","184","195","190.2","3.1"
"222","Matt Breida",BUF,"RB77","213","256","232.0","14.4"
"223","Benny Snell Jr.",PIT,"RB78","216","260","233.8","13.2"
"224","J.J. Taylor",NE,"RB79","212","262","234.8","13.8"
"225","Preston Williams",MIA,"WR107","206","228","217.9","5.3"
"226","Chris Evans",CIN,"RB80","214","277","242.6","16.1"
"227","Jordan Akins",HOU,"TE40","185","271","210.0","27.4"
"228","Jaret Patterson",WAS,"RB81","220","266","241.3","14.9"
"229","Kylin Hill",GB,"RB82","225","277","246.8","16.9"
