,DF Rank,ADP Avg.,Name,Position,Bye Week,Consensus Points
98,99,9.3,JaleHurts,QB,14,393
99,10,9.4,JarviLandry,WR,13,110
100,10,9.5,JameConner,RB,12,125
101,10,9.6,MichaeGallup,WR,7,124
102,10,9.7,JayleWaddle,WR,14,108
103,10,9.8,RoberTonyan,TE,13,103
104,10,9.9,MecolHardman,WR,12,107
105,10,9.1,CoreDavis,WR,6,122
106,10,9.11,LoAngeleRams,DEF,11,110
107,10,9.12,DarnelMooney,WR,10,96
108,10,10.1,MichaePittman,WR,14,100
109,11,10.2,PittsburgSteelers,DEF,7,101
110,11,10.3,MikGesicki,TE,14,95
111,11,10.4,TyleHigbee,TE,11,97
112,11,10.5,CurtiSamuel,WR,9,116
113,11,10.6,GuEdwards,RB,8,121
114,11,10.7,KenyaDrake,RB,8,107
115,11,10.8,DeviSingletary,RB,7,101
116,11,10.9,JoBurrow,QB,10,356
117,11,10.1,MarviJones,WR,7,125
118,11,10.11,WashingtoFootbalTeam,DEF,9,110
119,12,10.12,MarquisBrown,WR,8,109
120,12,11.1,TonPollard,RB,7,93
121,12,11.2,JamaaWilliams,RB,9,109
122,12,11.3,TampBaBuccaneers,DEF,9,113
123,12,11.4,HenrRuggs,WR,8,106
124,12,11.5,MarqueCallaway,WR,6,100
125,12,11.6,DaviJohnson,RB,10,99
126,12,11.7,BaltimorRavens,DEF,8,103
127,12,11.8,TrevoLawrence,QB,7,344
128,12,11.9,RusselGage,WR,6,92
129,13,11.1,RoGronkowski,TE,9,97
130,13,11.11,TreLance,QB,6,339
131,13,11.12,DeVantParker,WR,14,117
132,13,12.1,NyheiHines,RB,14,82
133,13,12.2,MatRyan,QB,6,342
134,13,12.3,AlexandeMattison,RB,7,84
135,13,12.4,IrSmith,TE,7,93
136,13,12.5,LataviuMurray,RB,6,73
137,13,12.6,SaFranciscers,DEF,6,104
138,13,12.7,JonnSmith,TE,14,86
139,14,12.8,PhilliLindsay,RB,10,98
140,14,12.9,JustiFields,QB,10,356
141,14,12.1,RondalMoore,WR,12,105
142,14,12.11,TerracMarshall,WR,13,99
143,14,12.12,BakeMayfield,QB,13,331
144,14,13.1,ColBeasley,WR,7,94
145,14,13.2,J.DMcKissic,RB,9,72
146,14,13.3,IndianapoliColts,DEF,14,103
147,14,13.4,JakobMeyers,WR,14,95
148,14,13.5,NelsoAgholor,WR,14,101
149,15,13.6,EmmanueSanders,WR,7,106
150,15,13.7,KirCousins,QB,7,328
151,15,13.8,BryaEdwards,WR,8,90
152,15,13.9,RashaaPenny,RB,9,69
153,15,13.1,T.YHilton,WR,14,107
154,15,13.11,GiovanBernard,RB,9,67
155,15,13.12,BuffalBills,DEF,7,103
156,15,14.1,EvaEngram,TE,10,85
157,15,14.2,SterlinShepard,WR,10,89
158,15,14.3,JaleReagor,WR,14,91
159,16,14.4,GabrieDavis,WR,7,95
160,16,14.5,TuTagovailoa,QB,14,339
161,16,14.6,ChubHubbard,RB,13,59
162,16,14.7,DeshauWatson,QB,10,316
163,16,14.8,RashoBateman,WR,8,79
164,16,14.9,A.JGreen,WR,12,95
165,16,14.1,TeviColeman,RB,6,85
166,16,14.11,AdaTrautman,TE,6,76
167,16,14.12,NeEnglanPatriots,DEF,14,100
168,16,15.1,Tre'QuaSmith,WR,6,100
169,17,15.2,BeRoethlisberger,QB,7,331
170,17,15.3,RandalCobb,WR,13,92
171,17,15.4,SonMichel,RB,11,131
172,17,15.5,RyaFitzpatrick,QB,9,368
173,17,15.6,JamisoCrowder,WR,6,80
174,17,15.7,Amon-RStBrown,WR,9,78
175,17,15.8,JameWhite,RB,14,73
176,17,15.9,ClevelanBrowns,DEF,13,101
177,17,15.11,HunteHenry,TE,14,85
178,17,15.12,ZacErtz,TE,14,76
179,18,16.1,MarloMack,RB,14,66
180,18,16.2,ParriCampbell,WR,14,82
181,18,16.3,SammWatkins,WR,8,82
182,18,16.4,DenveBroncos,DEF,11,102
183,18,16.5,GeralEverett,TE,9,71
184,18,16.6,RhamondrStevenson,RB,14,63
185,18,16.7,ChristiaKirk,WR,12,81
186,18,16.8,DarreWilliams,RB,12,60
187,18,16.9,ColKmet,TE,10,71
188,18,16.1,KansaCitChiefs,DEF,12,102
189,19,16.11,ZacWilson,QB,6,305
190,19,16.12,PaFreiermuth,TE,7,33
191,19,17.1,DereCarr,QB,8,338
192,19,17.2,TyrelWilliams,WR,9,100
193,19,17.3,JareCook,TE,7,91
194,19,17.4,JameiWinston,QB,6,330
195,19,17.5,MalcolBrown,RB,14,79
196,19,17.6,MiamDolphins,DEF,14,103
197,19,17.7,BlakJarwin,TE,7,71
198,19,17.8,MarqueValdes-Scantling,WR,13,77
199,20,17.9,AustiHooper,TE,13,78
200,20,17.1,AnthonFirkser,TE,13,77
201,20,17.11,QueWatkins,WR,14,61
202,20,17.12,TariCohen,RB,10,51
203,20,18.1,KennetGainwell,RB,14,45
204,20,18.2,K.JHamler,WR,11,73
205,20,18.3,DevontaBooker,RB,10,54
206,20,18.4,JosPalmer,WR,7,52
207,20,18.5,MarIngram,RB,10,55
208,20,18.6,AlleLazard,WR,13,63
209,21,18.7,BreshaPerriman,WR,9,93
210,21,18.8,JohBrown,WR,8,82
211,21,18.9,CarsoWentz,QB,14,330
212,21,18.1,EriEbron,TE,7,79
213,21,18.11,SaDarnold,QB,13,328
214,21,18.12,DarryntoEvans,RB,13,58
215,21,19.1,DonovaPeoples-Jones,WR,13,68
216,21,19.2,ByroPringle,WR,12,54
217,21,19.3,TaysoHill,QB,6,145
218,21,19.4,DariuSlayton,WR,10,78
219,22,19.6,DanieJones,QB,10,341
220,22,19.7,DeSeaJackson,WR,11,91
221,22,19.8,NicCollins,WR,10,77
222,22,19.9,TennesseTitans,DEF,13,92
223,22,19.1,CaNewton,QB,14,198
224,22,19.11,TyleKroft,TE,6,31
225,22,19.12,MinnesotVikings,DEF,7,90
226,22,20.1,JareGoff,QB,9,300
227,22,20.2,JericMcKinnon,RB,12,42
228,22,20.3,SeattlSeahawks,DEF,9,99
229,23,20.4,SalvoAhmed,RB,14,60
230,23,20.5,JustiJackson,RB,7,71
231,23,20.6,KadariuToney,WR,10,66
232,23,20.7,DemarcuRobinson,WR,12,55
233,23,20.8,ChicagBears,DEF,10,89
234,23,20.9,DaArnold,TE,13,50
235,23,20.1,VaJefferson,WR,11,77
236,23,20.11,ColliJohnson,WR,7,43
237,23,20.12,JuwaJohnson,WR,6,25
238,23,21.1,DawsoKnox,TE,7,62
239,24,21.2,HunteRenfrow,WR,8,60
240,24,21.3,BostoScott,RB,14,53
241,24,21.4,HaydeHurst,TE,6,66
242,24,21.5,OlamidZaccheaus,WR,6,57
243,24,21.6,NeOrleanSaints,DEF,6,103
244,24,21.7,O.JHoward,TE,9,68
245,24,21.8,LoAngeleChargers,DEF,7,98
246,24,21.9,DallaCowboys,DEF,7,91
247,24,21.1,JosReynolds,WR,13,55
248,24,21.11,DenzeMims,WR,6,60
249,25,21.12,GreeBaPackers,DEF,13,100
250,25,22.1,AdaHumphries,WR,9,45
251,25,22.2,HarrisoButkerK,rK,12,157
252,25,22.3,TrenSherfield,WR,6,29
253,25,22.4,MaJones,QB,14,159
254,25,22.5,YounghoKooK,oK,6,158
255,25,22.6,AmarRodgers,WR,13,45
256,25,22.7,TJohnson,RB,6,58
257,25,22.8,JasoSandersK,sK,14,160
258,25,22.9,AnthonMcFarlanJr.,RB,7,36
259,26,22.1,KekCoutee,WR,10,69
260,26,22.11,QadreOllison,RB,6,57
261,26,22.12,ScotMiller,WR,9,42
262,26,23.1,MAlie-Cox,TE,14,55
263,26,23.2,CordarrellPatterson,RB,6,59
264,26,23.3,KyliHill,RB,13,20
265,26,23.4,TyleBassK,sK,7,152
266,26,23.5,CarloHyde,RB,7,69
267,26,23.6,AudeTate,WR,10,46
268,26,23.7,KeelaCole,WR,6,76
269,27,23.8,CedricWilson,WR,7,29
270,27,23.9,TiPatrick,WR,11,49
271,27,23.1,Lil'JordaHumphrey,WR,6,12
272,27,23.11,RasharHiggins,WR,13,66
273,27,23.12,ElijaMitchell,RB,6,31
274,27,24.1,JimmGraham,TE,10,52
275,27,24.2,NeYorGiants,DEF,10,98
276,27,24.3,EnBenjamin,RB,12,11
277,27,24.4,JordaAkins,TE,10,55
278,27,24.5,ArizonCardinals,DEF,12,97
279,28,24.7,DaviNjoku,TE,13,40
280,28,24.8,TeddBridgewater,QB,11,300
281,28,24.9,KendricBourne,WR,14,54
282,28,24.1,JaviaHawkins,RB,13,9
283,28,24.11,RodrigBlankenshipK,pK,14,161
284,28,24.12,IsaiaMcKenzie,WR,7,40
285,28,25.1,DaltoSchultz,TE,7,50
286,28,25.2,ZacPascal,WR,14,69
287,28,25.3,TyroTaylor,QB,10,187
288,28,25.4,AntoniCallaway,WR,0,1
289,29,25.5,JameWashington,WR,7,60
290,29,25.6,FosteMoreau,TE,8,24
291,29,25.7,DonalParham,TE,7,38
292,29,25.8,SamajPerine,RB,10,44
293,29,25.9,DedWestbrook,WR,7,28
294,29,25.1,TyroJohnson,WR,7,48
295,29,25.11,WaynGallman,RB,6,40
296,29,25.12,C.JUzomah,TE,10,51
297,29,26.1,CarolinPanthers,DEF,13,90
298,29,26.2,JimmGaroppolo,QB,6,88
299,30,26.3,LarrRountree,RB,7,45
