DF Rank,ADP Avg.,Name,Position,Bye Week,Consensus Points
26,24.1 ,DontrelHilliard,RB,10,1
26,24.3 ,JosAdams,RB,6,4
26,24.5 ,KhaDareHodge,WR,13,13
27,24.6 ,RandalCobb,WR,13,152
27,24.7 ,KennStills,WR,0,47
27,24.8 ,NicVannett,TE,6,21
27,24.10,KeeSeaJohnson,WR,12,33
27,24.12,ReggiBonnafon,RB,13,13
27,25.1 ,RodrigBlankenshipK,pK,14,161
27,25.2 ,MinnesotVikings,DEF,7,90
27,25.4 ,BeDiNucci,QB,7,0
27,25.6 ,MalcolPerry,WR,14,1
27,25.7 ,JasoSandersK,sK,14,160
28,25.8 ,DarOgunbowale,RB,7,29
28,25.10,RileRidley,WR,10,7
28,25.11,TrentoCannon,RB,13,3
28,25.12,SaEhlinger,QB,14,15
28,26.1 ,NoaBrown,WR,7,25
28,26.2 ,RyaSuccopK,pK,9,152
28,26.5 ,ChriHerndon,TE,6,74
28,26.6 ,MarcedeLewis,TE,13,30
28,26.7 ,GreZuerleinK,nK,7,162
28,26.8 ,MaliTaylor,WR,13,12
29,26.9 ,ChaHansen,WR,0,11
29,26.10,BrandoPowell,WR,0,6
29,26.11,JustiJackson,RB,7,92
29,27.1 ,J.JArcega-Whiteside,WR,14,22
29,27.2 ,DurhaSmythe,TE,14,26
29,27.3 ,JosOliver,TE,8,20
29,27.4 ,BryceHopkins,TE,11,20
29,27.5 ,TrMcKitty,TE,7,15
29,27.6 ,ZaJones,WR,8,21
29,27.8 ,SimFehoko,WR,7,9
30,27.9 ,KelviHarmon,WR,0,18
30,27.10,GeofSwaim,TE,13,51
30,27.11,DexteWilliams,RB,13,2
30,28.1 ,AustiSeibertK,tK,10,79
30,28.2 ,KadeSmith,TE,10,34
30,28.3 ,TennesseTitans,DEF,13,92
30,28.4 ,MycolPruitt,TE,6,6
30,28.5 ,MatPraterK,rK,12,145
30,28.6 ,DevinOzigbo,RB,7,10
30,28.7 ,DanieCarlsonK,nK,8,145
31,28.8 ,TeddBridgewater,QB,11,300
31,28.10,TajaSharpe,WR,6,17
