DF Rank,ADP Avg.,Name,Position,Bye Week,Consensus Points
33,28.10,CarolinPanthers,DEF,13,90
33,28.11,JakElliottK,tK,14,130
33,28.12,DyamBrown,WR,9,55
33,28.12,AustiMacGinnisK,sK,11,0
33,28.12,TiTebo,TE,0,6
33,28.12,CodParkeyK,yK,13,30
33,28.12,DustiHopkinsK,sK,9,141
34,28.12,DeviFunchess,WR,13,22
34,28.12,NeYorGiants,DEF,10,98
34,28.12,PrestoWilliams,WR,14,46
34,28.12,MarquisGoodwin,WR,10,48
34,28.12,C.JUzomah,TE,10,51
34,28.12,Ka'imFairbairnK,nK,10,128
34,28.12,StepheAnderson,TE,7,5
34,28.12,DonalParham,TE,7,38
34,28.12,JordaLove,QB,13,53
34,28.12,AntoniGandy-Golden,WR,9,7
35,28.12,KendricBourne,WR,14,54
35,28.12,JonathaWilliams,RB,0,2
35,28.12,ChriConley,WR,10,58
35,28.12,CaSims,WR,9,36
35,28.12,ByroPringle,WR,12,54
35,28.12,ShSmith,WR,13,26
35,28.12,JameWashington,WR,7,60
35,28.12,TrayveoWilliams,RB,10,23
35,28.12,ChriHerndon,TE,6,45
35,28.12,JaleGuyton,WR,7,54
36,28.12,DamierByrd,WR,10,47
36,28.12,N'KeaHarry,WR,14,42
36,28.12,DeviSmith,WR,0,0
36,28.12,KelleMond,QB,7,13
36,28.12,ItSmith,RB,7,16
36,28.12,BriaHill,RB,13,35
36,28.12,NeYorJets,DEF,6,83
36,28.12,JacksonvillJaguars,DEF,7,77
36,28.12,DemetriFelton,RB,13,14
